2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09
1321164001506586624,1333463566838620164,1334533338984550402,1352579409354629126,1364224297540096003,1371756456308043778,1388205697322602498,1398287466864463875,1403224886827384834,1418955176883499020,1428837226151034881,1436147126908567580
1319091232459677696,1326460819631181825,1339374487125430272,1349318018606587906,1359512080194355211,1369030845399523336,1382230837144485890,1388457757939048451,1409201609632927744,1420089887081078794,1431444744169824256,1433969003043729409
1318338091741024261,1333138566164189184,1337179727820427266,1348564904085757964,1359563706850566145,1370463121018654724,1385948557006495745,1393299948142272512,1406346999016964099,1419811878071537668,1422873724332781568,1441559424129187840
1319560248722587648,1328567065121157121,1337912138652848129,1352970023195660288,1361694936714911754,1375541558796247042,1379891852762046469,1392936678675951617,1404870378850189312,1416193231226773507,1426919076102819843,1436108610350768133
1321940272587091973,1333269330755166209,1336509626301485057,1348338796589428741,1365625786066112519,1372640805169606661,1386355526317973506,1396389869270749186,1408941469101084674,1417189259052716038,1432264530210574340,1439216147610705921
1319546982650662912,1333487698246512642,1344142644956434432,1346842812621357057,1363162148353019908,1366565462419660800,1378781619935457284,1394683075813158916,1408868170656591884,1421624004389924865,1426170136059432960,1434135841937375241
1319996533006168064,1333228699739697153,1337072163136868355,1352719516409753603,1361569957629353984,1377500208716685315,1378405109118418949,1397226669174317058,1408406630459318277,1417915072932982793,1426925967335899139,1436316962704011306
1321198317305516033,1328410542503907329,1338462996885016577,1356110277943562241,1357800900379762689,1366511738816978945,1382417849201795072,1399335316088143874,1410050947561127936,1418719098549178371,1425840184080404490,1434429011682217987
1321856574571356162,1324348253190692864,1337033274955161601,1350516119765995520,1365463329477713925,1375301569189572609,1379034849164603393,1388552800368484353,1406449788699254785,1414977828492169224,1429971225845977091,1436370036675985411
1322364999860441088,1326192794625581057,1339622813930426369,1351569077416951808,1362936389961060357,1370980294434582528,1381883094597316608,1391748981701677056,1406972268182265863,1418881034687590410,1426866829696413699,1438182284356636678
1318679709643870209,1326039928921350144,1336356315900375040,1350831720900255751,1356414944762155008,1368986016938393601,1385363898526744578,1393052209546399752,1403825938240966656,1411460714905153539,1424823423189016581,1438633532365189120
1322693373753544705,1333175324507594752,1340520678253051904,1354002054239424512,1362255810265546755,1376183917875765256,1381297553996607495,1393649618735353858,1405855027009368078,1420114186294661122,1423068991744974857,1437549075608391680
1319270505069768705,1326935043172917249,1337988134957690880,1354586829815574532,1362791321136738306,1371942242739494914,1379277831478239234,1390427209920356357,1403054130936037389,1415035167949959174,1428914353298976774,1438535937332371456
1318611790490603520,1332775040031612930,1335676062819180544,1351372088054075397,1359954093461147652,1372599162273955846,1377785639932993542,1397766659805376513,1406195392648257541,1412591543383465987,1423835623581003781,1440736651437772803
